CU,Stock,WA,lh,Enh
CU Nootka-Kyuquot,Artlish,63.55,1,
CU Southwest Vancouver Island,Bedwell/Ursus,99.36,1,
CU Nootka-Kyuquot,Burman,69.89,1,
CU Northwest Vancouver Island,Cayeghle,49.42,1,
CU Nootka-Kyuquot,Conuma,19.71,1,
CU Southwest Vancouver Island,Cypre,39.03,1,
CU Nootka-Kyuquot,Gold,856.34,1,
CU Nootka-Kyuquot,Kaouk,100.51,1,
CU Nootka-Kyuquot,Leiner,109.25,1,
CU Northwest Vancouver Island,Marble,167.51,1,
CU Southwest Vancouver Island,Megin,245.34,1,
CU Southwest Vancouver Island,Moyeha,115.68,1,
CU Southwest Vancouver Island,Nahmint,41.74,1,
CU Southwest Vancouver Island,Nitinat,356.62,1,
CU Southwest Vancouver Island,San Juan,330,1,
CU Southwest Vancouver Island,Sarita,84.22,1,
CU Southwest Vancouver Island,Somass,1056.84,1,
CU Nootka-Kyuquot,Tahsis,76.93,1,
CU Nootka-Kyuquot,Tahsish,171.97,1,
CU Southwest Vancouver Island,Tranquil,12.22,1,
CU Nootka-Kyuquot,Zeballos,193.85,1,
CU South Thompson CU (ocean-type),"All (lower Thompson, South Thompson, Little, Lower Adams)",29565.40842,1,
CU Shuswap,Lower Shuswap,2663.142562,1,
CU Shuswap,Middle Shuswap,639.7864321,1,
CU Shuswap,Wap,19.77537433,1,
CU Northwest Vancouver Island,East,46.1876646,1,
CU Northwest Vancouver Island,Goodspeed,14.50187742,1,
CU Northwest Vancouver Island,Keith,55.83291043,1,
CU Northwest Vancouver Island,Klaskish,40.62470017,1,
CU Northwest Vancouver Island,Mahatta,113.6622678,1,
CU Northwest Vancouver Island,Washlawlis,23.01882869,1,
CU Northwest Vancouver Island,Colonial&Cayeagle,78.57117308,1,
CU Northeast Vancouver Island,Adam,279.0229766,1,
CU Northeast Vancouver Island,Amor de Cosmos,14.50187742,1,
CU Northeast Vancouver Island,Cluxewe,89.51941912,1,
CU Northeast Vancouver Island,Kokish,103.7253183,1,
CU Northeast Vancouver Island,Quatse,79.58163742,1,
CU Northeast Vancouver Island,Nimpkish (above Lake),400.2062663,1,
CU Northeast Vancouver Island,Salmon,911.6572586,1,
CU Northeast Vancouver Island,Quinsam-Campbell,170.5152599,1,
CU Nootka-Kyuquot,Amai,13.63191732,1,
CU Nootka-Kyuquot,Canton,35.1216783,1,
CU Nootka-Kyuquot,Espinosa,25.36209182,1,
CU Nootka-Kyuquot,Hoiss,13.49331751,1,
CU Nootka-Kyuquot,Kauwinch,74.71701896,1,
CU Nootka-Kyuquot,Kleeptee,49.01430567,1,
CU Nootka-Kyuquot,Little Zeballos River,40.02017772,1,
CU Nootka-Kyuquot,Malksope,32.61926878,1,
CU Nootka-Kyuquot,Mckay,13.26969841,1,
CU Nootka-Kyuquot,Mooyah,35.26326994,1,
CU Nootka-Kyuquot,Ououkinsh,35.40911441,1,
CU Nootka-Kyuquot,Power,50.9607687,1,
CU Nootka-Kyuquot,Sucwoa,41.15311954,1,
