"","Estimate","Stock","LL","UL","Param"
"target_lnSMSY_ocean",358,"Artlish",178,718,"SMSY"
"target_lnSMSY_ocean.1",565,"Bedwell/Ursus",293,1088,"SMSY"
"target_lnSMSY_ocean.2",394,"Burman",198,784,"SMSY"
"target_lnSMSY_ocean.3",276,"Cayeghle",134,569,"SMSY"
"target_lnSMSY_ocean.4",108,"Conuma",48,245,"SMSY"
"target_lnSMSY_ocean.5",217,"Cypre",103,458,"SMSY"
"target_lnSMSY_ocean.6",5111,"Gold",2999,8713,"SMSY"
"target_lnSMSY_ocean.7",571,"Kaouk",297,1100,"SMSY"
"target_lnSMSY_ocean.8",622,"Leiner",326,1189,"SMSY"
"target_lnSMSY_ocean.9",963,"Marble",522,1779,"SMSY"
"target_lnSMSY_ocean.10",1423,"Megin",792,2559,"SMSY"
"target_lnSMSY_ocean.11",660,"Moyeha",347,1255,"SMSY"
"target_lnSMSY_ocean.12",233,"Nahmint",111,487,"SMSY"
"target_lnSMSY_ocean.13",2087,"Nitinat",1186,3671,"SMSY"
"target_lnSMSY_ocean.14",1927,"San Juan",1091,3405,"SMSY"
"target_lnSMSY_ocean.15",477,"Sarita",244,933,"SMSY"
"target_lnSMSY_ocean.16",6338,"Somass",3730,10770,"SMSY"
"target_lnSMSY_ocean.17",435,"Tahsis",220,857,"SMSY"
"target_lnSMSY_ocean.18",990,"Tahsish",537,1824,"SMSY"
"target_lnSMSY_ocean.19",66,"Tranquil",28,159,"SMSY"
"target_lnSMSY_ocean.20",1119,"Zeballos",612,2044,"SMSY"
"target_lnSREP_ocean",1045,"Artlish",501,2181,"SREP"
"target_lnSREP_ocean.1",1643,"Bedwell/Ursus",822,3284,"SREP"
"target_lnSREP_ocean.2",1151,"Burman",557,2379,"SREP"
"target_lnSREP_ocean.3",810,"Cayeghle",378,1735,"SREP"
"target_lnSREP_ocean.4",319,"Conuma",134,759,"SREP"
"target_lnSREP_ocean.5",638,"Cypre",290,1401,"SREP"
"target_lnSREP_ocean.6",14577,"Gold",8302,25594,"SREP"
"target_lnSREP_ocean.7",1663,"Kaouk",833,3319,"SREP"
"target_lnSREP_ocean.8",1809,"Leiner",913,3585,"SREP"
"target_lnSREP_ocean.9",2790,"Marble",1460,5331,"SREP"
"target_lnSREP_ocean.10",4107,"Megin",2211,7630,"SREP"
"target_lnSREP_ocean.11",1917,"Moyeha",973,3779,"SREP"
"target_lnSREP_ocean.12",682,"Nahmint",313,1489,"SREP"
"target_lnSREP_ocean.13",6000,"Nitinat",3305,10893,"SREP"
"target_lnSREP_ocean.14",5546,"San Juan",3042,10114,"SREP"
"target_lnSREP_ocean.15",1390,"Sarita",685,2821,"SREP"
"target_lnSREP_ocean.16",18040,"Somass",10309,31570,"SREP"
"target_lnSREP_ocean.17",1268,"Tahsis",619,2597,"SREP"
"target_lnSREP_ocean.18",2865,"Tahsish",1503,5463,"SREP"
"target_lnSREP_ocean.19",197,"Tranquil",78,495,"SREP"
"target_lnSREP_ocean.20",3235,"Zeballos",1712,6112,"SREP"
