"","Estimate","Stock","LL","UL","Param"
"target_lnSMSY_ocean",179022,"South Thompson Agg",89142,359528,"SMSY"
"target_lnSMSY_ocean.1",15266,"Lower Shuswap",8915,26140,"SMSY"
"target_lnSMSY_ocean.2",3550,"Middle Shuswap",2068,6096,"SMSY"
"target_lnSMSY_ocean.3",101,"Wap",45,230,"SMSY"
"target_lnSMSY_ocean.4",241,"East",116,500,"SMSY"
"target_lnSMSY_ocean.5",74,"Goodspeed",31,174,"SMSY"
"target_lnSMSY_ocean.6",293,"Keith",144,596,"SMSY"
"target_lnSMSY_ocean.7",212,"Klaskish",101,445,"SMSY"
"target_lnSMSY_ocean.8",606,"Mahatta",318,1155,"SMSY"
"target_lnSMSY_ocean.9",118,"Washlawlis",53,264,"SMSY"
"target_lnSMSY_ocean.10",416,"Colonial&Cayeagle",211,818,"SMSY"
"target_lnSMSY_ocean.11",902,"Marble",488,1665,"SMSY"
"target_lnSMSY_ocean.12",1519,"Adam",852,2710,"SMSY"
"target_lnSMSY_ocean.13",74,"Amor de Cosmos",31,174,"SMSY"
"target_lnSMSY_ocean.14",475,"Cluxewe",244,924,"SMSY"
"target_lnSMSY_ocean.15",552,"Kokish",288,1060,"SMSY"
"target_lnSMSY_ocean.16",421,"Quatse",214,828,"SMSY"
"target_lnSMSY_ocean.17",2197,"Nimpkish (above Lake)",1256,3844,"SMSY"
"target_lnSMSY_ocean.18",5100,"Salmon",2995,8683,"SMSY"
"target_lnSMSY_ocean.19",918,"Quinsam-Campbell",498,1693,"SMSY"
"target_lnSMSY_ocean.20",101,"Conuma",44,230,"SMSY"
"target_lnSMSY_ocean.21",407,"Tahsis",206,802,"SMSY"
"target_lnSMSY_ocean.22",369,"Burman",185,734,"SMSY"
"target_lnSMSY_ocean.23",335,"Artlish",167,672,"SMSY"
"target_lnSMSY_ocean.24",535,"Kaouk",278,1029,"SMSY"
"target_lnSMSY_ocean.25",926,"Tahsish",503,1707,"SMSY"
"target_lnSMSY_ocean.26",4784,"Gold",2806,8154,"SMSY"
"target_lnSMSY_ocean.27",582,"Leiner",305,1113,"SMSY"
"target_lnSMSY_ocean.28",1047,"Zeballos",573,1913,"SMSY"
"target_lnSMSY_ocean.29",69,"Amai",29,164,"SMSY"
"target_lnSMSY_ocean.30",49,"Canton",20,122,"SMSY"
"target_lnSMSY_ocean.31",23,"Espinosa",9,63,"SMSY"
"target_lnSMSY_ocean.32",69,"Hoiss",29,163,"SMSY"
"target_lnSMSY_ocean.33",230,"Kauwinch",111,480,"SMSY"
"target_lnSMSY_ocean.34",71,"Kleeptee",30,168,"SMSY"
"target_lnSMSY_ocean.35",226,"Little Zeballos River",108,472,"SMSY"
"target_lnSMSY_ocean.36",105,"Malksope",46,237,"SMSY"
"target_lnSMSY_ocean.37",7,"Mckay",2,22,"SMSY"
"target_lnSMSY_ocean.38",39,"Mooyah",15,98,"SMSY"
"target_lnSMSY_ocean.39",85,"Ououkinsh",37,198,"SMSY"
"target_lnSMSY_ocean.40",267,"Power",130,548,"SMSY"
"target_lnSMSY_ocean.41",131,"Sucwoa",60,290,"SMSY"
"target_lnSMSY_ocean.42",102,"Tlupana",45,231,"SMSY"
"target_lnSMSY_ocean.43",135,"Tsowwin",61,297,"SMSY"
"target_lnSMSY_ocean.44",1953,"Nitinat",1110,3436,"SMSY"
"target_lnSMSY_ocean.45",1804,"San Juan",1021,3187,"SMSY"
"target_lnSMSY_ocean.46",218,"Nahmint",104,456,"SMSY"
"target_lnSMSY_ocean.47",446,"Sarita",228,873,"SMSY"
"target_lnSMSY_ocean.48",528,"Bedwell",274,1018,"SMSY"
"target_lnSMSY_ocean.49",1332,"Megin",741,2395,"SMSY"
"target_lnSMSY_ocean.50",617,"Moyeha",325,1174,"SMSY"
"target_lnSMSY_ocean.51",203,"Cypre",96,429,"SMSY"
"target_lnSMSY_ocean.52",62,"Tranquil",26,149,"SMSY"
"target_lnSMSY_ocean.53",5932,"Somass (stamp&sproat)",3491,10080,"SMSY"
"target_lnSMSY_ocean.54",3100,"Puntledge Falls",1797,5346,"SMSY"
"target_lnSMSY_ocean.55",1630,"Englishman",917,2895,"SMSY"
"target_lnSMSY_ocean.56",733,"Big Qualicum",391,1376,"SMSY"
"target_lnSMSY_ocean.57",503,"Little Qualicum",260,973,"SMSY"
"target_lnSMSY_ocean.58",2380,"Puntledge Summers",1366,4149,"SMSY"
"target_lnSMSY_ocean.59",3015,"Nanaimo Falls",1746,5204,"SMSY"
"target_lnSMSY_ocean.60",8344,"Klinaklini",4917,14160,"SMSY"
"target_lnSMSY_ocean.61",158,"Maria Slough",73,342,"SMSY"
