"","Value","lwr","upr","Stock","RP"
"1",180,41,630,"Artlish","SGEN"
"2",290,66,970,"Bedwell/Ursus","SGEN"
"3",200,46,690,"Burman","SGEN"
"4",140,31,490,"Cayeghle","SGEN"
"5",55,12,210,"Conuma","SGEN"
"6",110,24,400,"Cypre","SGEN"
"7",2500,620,7700,"Gold","SGEN"
"8",290,66,990,"Kaouk","SGEN"
"9",310,75,1100,"Leiner","SGEN"
"10",480,120,1600,"Marble","SGEN"
"11",710,170,2300,"Megin","SGEN"
"12",330,76,1100,"Moyeha","SGEN"
"13",120,26,430,"Nahmint","SGEN"
"14",1000,250,3300,"Nitinat","SGEN"
"15",970,240,3100,"San Juan","SGEN"
"16",240,54,830,"Sarita","SGEN"
"17",3100,780,9400,"Somass","SGEN"
"18",220,51,750,"Tahsis","SGEN"
"19",500,120,1600,"Tahsish","SGEN"
"20",33,6.9,130,"Tranquil","SGEN"
"21",560,130,1800,"Zeballos","SGEN"
"22",3400,850,11000,"Barkley","SGEN"
"23",1500,360,4700,"Clayoquot","SGEN"
"24",970,240,3100,"Kyuquot","SGEN"
"25",3800,940,12000,"Nootka/Esperanza","SGEN"
"26",630,150,2000,"Quatsino","SGEN"
"27",4800,1200,15000,"WCVI Nootka & Kyuquot","SGEN"
"28",620,160,2000,"WCVI North","SGEN"
"29",6900,1700,22000,"WCVI South","SGEN"
"30",940,430,2100,"Artlish","SREP"
"31",1500,710,3200,"Bedwell/Ursus","SREP"
"32",1000,480,2300,"Burman","SREP"
"33",730,320,1700,"Cayeghle","SREP"
"34",290,110,720,"Conuma","SREP"
"35",570,250,1300,"Cypre","SREP"
"36",13000,7100,24000,"Gold","SREP"
"37",1500,710,3200,"Kaouk","SREP"
"38",1600,790,3400,"Leiner","SREP"
"39",2500,1300,5000,"Marble","SREP"
"40",3700,1900,7200,"Megin","SREP"
"41",1700,830,3600,"Moyeha","SREP"
"42",620,270,1400,"Nahmint","SREP"
"43",5400,2800,10000,"Nitinat","SREP"
"44",5000,2600,9500,"San Juan","SREP"
"45",1300,590,2700,"Sarita","SREP"
"46",16000,8900,29000,"Somass","SREP"
"47",1100,530,2500,"Tahsis","SREP"
"48",2600,1300,5200,"Tahsish","SREP"
"49",170,65,470,"Tranquil","SREP"
"50",2900,1500,5800,"Zeballos","SREP"
"51",18000,9900,33000,"Barkley","SREP"
"52",7800,4200,14000,"Clayoquot","SREP"
"53",5100,2700,9700,"Kyuquot","SREP"
"54",20000,11000,37000,"Nootka/Esperanza","SREP"
"55",3300,1700,6400,"Quatsino","SREP"
"56",25000,14000,46000,"WCVI Nootka & Kyuquot","SREP"
"57",3300,1700,6400,"WCVI North","SREP"
"58",36000,20000,66000,"WCVI South","SREP"
"59",400,180,900,"Artlish","SMSY"
"60",640,300,1400,"Bedwell/Ursus","SMSY"
"61",450,200,980,"Burman","SMSY"
"62",310,140,720,"Cayeghle","SMSY"
"63",120,47,320,"Conuma","SMSY"
"64",250,100,590,"Cypre","SMSY"
"65",5600,3000,10000,"Gold","SMSY"
"66",650,300,1400,"Kaouk","SMSY"
"67",710,330,1500,"Leiner","SMSY"
"68",1100,530,2200,"Marble","SMSY"
"69",1600,800,3200,"Megin","SMSY"
"70",750,350,1600,"Moyeha","SMSY"
"71",270,110,620,"Nahmint","SMSY"
"72",2300,1200,4500,"Nitinat","SMSY"
"73",2100,1100,4200,"San Juan","SMSY"
"74",540,250,1200,"Sarita","SMSY"
"75",6900,3700,13000,"Somass","SMSY"
"76",490,220,1100,"Tahsis","SMSY"
"77",1100,550,2300,"Tahsish","SMSY"
"78",75,28,200,"Tranquil","SMSY"
"79",1300,630,2500,"Zeballos","SMSY"
"80",7700,4200,14000,"Barkley","SMSY"
"81",3300,1800,6400,"Clayoquot","SMSY"
"82",2200,1100,4300,"Kyuquot","SMSY"
"83",8600,4600,16000,"Nootka/Esperanza","SMSY"
"84",1400,700,2800,"Quatsino","SMSY"
"85",11000,5700,20000,"WCVI Nootka & Kyuquot","SMSY"
"86",1400,700,2800,"WCVI North","SMSY"
"87",15000,8400,29000,"WCVI South","SMSY"
