"Stock","WA","LH","SGEN","SGEN LQ","SGEN UQ","SREP","SREP LQ","SREP UQ","SMSY","SMSY LQ","SMSY UQ"
"South Thompson Agg",29565,1,94000,23000,320000,490000,230000,1e+06,210000,99000,450000
"Lower Shuswap",2663,1,8500,2100,26000,44000,25000,78000,19000,11000,34000
"Middle Shuswap",640,1,2000,490,6100,10000,5800,18000,4500,2500,8000
"Wap",20,1,56,12,210,290,120,690,120,52,300
"East",46,1,130,32,470,700,330,1500,300,140,670
"Goodspeed",15,1,40,9,150,210,86,520,91,36,230
"Keith",56,1,160,38,560,860,400,1800,370,170,790
"Klaskish",41,1,120,26,410,610,280,1300,260,120,590
"Mahatta",114,1,340,81,1100,1800,890,3500,760,380,1500
"Washlawlis",23,1,64,14,240,340,140,790,150,62,340
"Colonial&Cayeagle",79,1,230,55,780,1200,590,2500,530,250,1100
"Marble",168,1,510,120,1600,2600,1400,5100,1100,580,2200
"Adam",279,1,850,210,2700,4400,2400,8200,1900,1000,3600
"Amor de Cosmos",15,1,40,8,150,210,84,520,91,36,230
"Cluxewe",90,1,260,63,870,1400,680,2800,600,290,1200
"Kokish",104,1,310,75,1000,1600,810,3200,700,340,1400
"Quatse",80,1,230,56,780,1200,600,2500,530,260,1100
"Nimpkish (above Lake)",400,1,1200,310,3800,6400,3600,12000,2800,1500,5100
"Salmon",912,1,2900,710,8700,15000,8500,26000,6400,3600,11000
"Quinsam-Campbell",171,1,520,130,1600,2700,1400,5100,1200,590,2300
"Conuma",20,1,55,12,210,290,120,700,130,51,300
"Tahsis",77,1,230,54,770,1200,580,2500,510,250,1100
"Burman",70,1,210,48,690,1100,520,2200,460,220,970
"Artlish",64,1,190,44,630,970,460,2000,420,200,890
"Kaouk",101,1,300,72,990,1600,780,3100,680,330,1400
"Tahsish",172,1,520,130,1700,2700,1400,5100,1200,600,2300
"Gold",856,1,2700,700,8000,14000,8000,25000,6000,3400,11000
"Leiner",109,1,330,78,1100,1700,860,3400,740,360,1500
"Zeballos",194,1,580,140,1900,3100,1600,5800,1300,690,2500
"Amai",14,1,38,8,150,200,78,490,85,33,220
"Canton",10,1,27,6,100,140,54,360,60,23,160
"Espinosa",5,1,12,2,53,65,22,190,28,9,82
"Hoiss",13,1,37,8,140,190,78,480,83,33,210
"Kauwinch",44,1,130,29,440,670,310,1400,290,130,630
"Kleeptee",14,1,38,8,150,200,81,500,87,35,220
"Little Zeballos River",43,1,130,29,430,650,300,1400,280,130,630
"Malksope",20,1,58,13,210,300,130,720,130,53,310
"Mckay",1,1,4,1,17,19,6,64,8,2,28
"Mooyah",8,1,21,4,83,110,41,290,47,17,130
"Ououkinsh",17,1,46,10,180,240,98,600,100,42,260
"Power",51,1,150,34,500,780,360,1600,330,150,720
"Sucwoa",25,1,73,16,260,380,160,880,160,70,380
"Tlupana",20,1,55,12,210,290,120,700,130,52,300
"Tsowwin",26,1,74,16,270,390,170,900,170,72,390
"Nitinat",357,1,1100,280,3400,5700,3100,10000,2500,1300,4600
"San Juan",330,1,1000,260,3100,5300,2900,9600,2300,1200,4200
"Nahmint",42,1,120,28,420,630,290,1400,270,120,600
"Sarita",84,1,250,60,830,1300,640,2700,560,270,1200
"Bedwell",99,1,290,72,950,1500,780,3100,660,330,1300
"Megin",245,1,750,190,2300,3900,2100,7200,1700,890,3200
"Moyeha",116,1,350,84,1100,1800,910,3600,780,390,1600
"Cypre",39,1,110,25,390,580,270,1300,250,110,560
"Tranquil",12,1,34,7,130,180,70,440,76,30,190
"Somass (stamp&sproat)",1057,1,3300,830,10000,17000,9800,30000,7500,4100,13000
"Puntledge Falls",560,1,1700,440,5300,9100,5200,16000,3900,2200,7100
"Englishman",299,1,910,220,2800,4800,2600,8700,2100,1100,3800
"Big Qualicum",137,1,410,99,1300,2200,1100,4100,930,460,1800
"Little Qualicum",95,1,280,67,920,1500,720,2900,630,300,1300
"Puntledge Summers",433,1,1300,330,4100,7000,3900,13000,3000,1600,5600
