Stock,WA,lh
Adam,279.0229766,1
Ahnuhati,103.2150776,1
"All (lower Thompson, South Thompson, Little, Lower Adams)",29565.40842,1
Amai,13.63191732,1
Amor de Cosmos,14.50187742,1
Apple,104.1804156,1
Artlish,63.55,1
Bedwell/Ursus,99.36,1
Bessette,231.8779014,0
Big Qualicum,136.8720777,1
Big Silver,420.6987341,0
Birkenhead,462.4660493,0
Bonaparte,3001.854142,0
Brem,220.5816314,1
Bridge,350.9381836,0
Burman,69.89,1
Canton,9.81,1
Cayeghle,49.42,1
Chilako,1908.393017,0
Chilcotin (upper and lower),1993.225096,0
Chilko,2102.563218,0
Cluxewe,89.51941912,1
Coldwater,254.8923516,0
Colonial&Cayeagle,78.57117308,1
Conuma,19.71,1
Cypre,39.03,1
Deadman,754.459182,0
Driftwood,708.0676713,0
Eagle,594.1618092,0
East,46.1876646,1
Endako,690.1047235,0
Englishman,298.8025471,1
Espinosa,4.7,1
Franklin,120.4444619,1
Gold,856.34,1
Goldstream,41.9632168,1
Goodspeed,14.50187742,1
Hoiss,13.49331751,1
Homathko,286.3011437,1
Horsefly,486.6201118,0
North Thompson (includes mainstem and trib u/s of Avola),2086.058926,0
Indian,177.3282531,1
Kakweiken,51.02930054,1
Kaouk,100.51,1
Kauwinch,44.12,1
Keith,55.83291043,1
Kingcome,281.9969356,1
Klaskish,40.62470017,1
Kleeptee,14.01,1
Klinaklini (includes devereaux and other tribs),1475.318501,1
Kokish,103.7253183,1
Leiner,109.25,1
Little Qualicum,94.63079783,1
Little Zeballos River,43.33,1
Louis,438.4178736,0
Lower Shuswap,2663.142562,1
Mahatta,113.6622678,1
Malksope,20.37,1
Marble,167.51,1
Maria Slough,30.54565188,1
Mckay,1.44,1
Megin,245.34,1
Middle Shuswap,639.7864321,1
Mooyah,7.69,1
Moyeha,115.68,1
Nadina,918.7057862,0
Nahatlatch,246.3397738,0
Nahmint,41.74,1
Nanaimo Falls,545.2196866,1
"Nechako System (Stuart, Stellako)",15673.66027,0
Nicola,6225.100696,0
"Nimpkish (above Lake)--Note, need to check with Pieter as perhaps only Woss is surveyed",400.2062663,1
Nitinat,356.62,1
"North Thompson and tribs (Clearwater, Mahood, Raft, Barriere, Lemieux)",5909.991814,0
Okanagan,610.8119923,1
Orford,37.75911239,1
Ououkinsh,16.72,1
Phillips,192.7718712,1
Portage,454.1895004,0
Power,50.9607687,1
Puntledge Falls,560.2454578,1
Puntledge Summers,432.7602266,1
Quatam,146.6783215,1
Quatse,79.58163742,1
Quesnel System (Cariboo),3997.852941,0
Quinsam-Campbell,170.5152599,1
Salmon,911.6572586,1
Salmon @ Salmon Arm,638.3781821,0
San Juan,330,1
Sarita,84.22,1
Seymour - South Coast-Georgia Strait,55.30104059,1
Seymour - South Thompson Summer 1.3,79.00677097,0
Sim,24.35324437,1
Somass,1056.84,1
Southgate,178.6599016,1
Spius,613.7463388,0
Squamish,831.7055632,1
Stafford,21.06489104,1
Sucwoa,25.49,1
Tahsis,76.93,1
Tahsish,171.97,1
Taseko,2218.539321,0
"Taseko (Taseko, Elkin, Beece, Lord, Yohetta, Tchaikazan)",2218.486093,0
Theodosia,54.68208327,1
Tlupana,19.84,1
Toba,449.9014256,1
Tranquil,12.22,1
Tsowwin,26.19,1
Upper Cariboo,553.9219058,0
Upper Fraser Spring (all tribs and mainstem from Salmon River upstream),33078.74639,0
Upper Pitt,287.3747473,0
Wakeman,304.8571273,1
Wap,19.77537433,1
Washlawlis,23.01882869,1
"Westroad, Baker, Naver, Narcosli, Cottonwood",8680.933419,0
Zeballos,193.85,1
