CU_INDEX,Stock_name,WA,lh,SGEN_mean,SGEN_median,SGEN_LQ_5,SGEN_UQ_95,SREP_mean,SREP_median,SREP_LQ_5,SREP_UQ_95,SMSY_mean,SMSY_median,SMSY_LQ_5,SMSY_UQ_95
CK-13,South Thompson Agg,29565,1,33208,28325,12004,70573,481244,418499,187504,975224,179747,156001,69471,364843
CK-15,Lower Shuswap,2663,1,2677,2587,1736,3919,38969,38141,28506,51828,14546,14222,10535,19476
CK-15,Middle Shuswap,640,1,643,626,429,922,9385,9211,6938,12418,3502,3436,2577,4665
CK-15,Wap,20,1,24,20,7,58,357,289,99,841,133,108,37,315
CK-33,East,46,1,53,45,19,111,771,673,284,1602,288,251,106,599
CK-33,Goodspeed,15,1,18,14,5,46,270,212,67,668,101,79,25,249
CK-33,Keith,56,1,63,55,24,128,919,812,359,1846,343,303,134,694
CK-33,Klaskish,41,1,47,40,16,101,686,592,242,1452,256,220,90,544
CK-33,Mahatta,114,1,122,111,57,224,1783,1651,865,3179,665,616,322,1184
CK-33,Washlawlis,23,1,28,23,8,65,409,336,120,947,152,125,45,354
CK-33,Colonial&Cayeagle,79,1,86,77,36,168,1262,1141,548,2393,471,425,204,898
CK-33,Marble,168,1,176,164,90,303,2572,2428,1393,4268,960,906,520,1600
CK-29,Adam,279,1,287,272,166,458,4190,4030,2596,6375,1563,1501,969,2376
CK-29,Amor de Cosmos,15,1,18,14,5,46,270,212,67,668,101,79,25,249
CK-29,Cluxewe,90,1,97,88,42,185,1425,1300,643,2648,532,485,240,992
CK-29,Kokish,104,1,112,102,51,208,1636,1506,772,2966,610,562,288,1107
CK-29,Quatse,80,1,87,78,37,169,1277,1156,557,2417,476,431,208,907
CK-29,Nimpkish (above Lake),400,1,407,391,252,617,5937,5777,4010,8445,2215,2152,1496,3162
CK-29,Salmon,912,1,913,892,626,1270,13305,13123,10276,16874,4965,4891,3804,6357
CK-29,Quinsam-Campbell,171,1,179,167,92,307,2616,2473,1423,4323,976,922,532,1623
CK-32,Conuma,20,1,24,19,7,58,355,288,99,839,133,107,37,314
CK-32,Tahsis,77,1,85,76,35,165,1237,1118,534,2355,461,417,199,883
CK-32,Burman,70,1,77,69,31,153,1131,1017,475,2192,422,378,177,821
CK-32,Artlish,64,1,71,62,28,142,1036,925,422,2038,386,344,157,764
CK-32,Kaouk,101,1,109,99,49,203,1588,1459,743,2896,592,545,277,1082
CK-32,Tahsish,172,1,180,168,93,309,2638,2494,1438,4353,984,930,537,1632
CK-32,Gold,856,1,858,837,588,1197,12507,12333,9589,15968,4667,4601,3558,6013
CK-32,Leiner,109,1,117,107,54,217,1718,1587,823,3087,641,592,307,1150
CK-32,Zeballos,194,1,202,189,108,340,2956,2806,1668,4778,1103,1046,623,1793
CK-32,Amai,14,1,17,13,4,44,256,199,62,637,95,74,23,238
CK-32,Canton,10,1,13,10,3,34,191,144,41,496,71,54,15,185
CK-32,Espinosa,5,1,7,5,1,20,100,69,17,283,37,26,6,106
CK-32,Hoiss,13,1,17,13,4,44,253,197,61,632,94,74,23,236
CK-32,Kauwinch,44,1,51,43,18,107,740,643,268,1547,276,239,100,579
CK-32,Kleeptee,14,1,18,14,4,45,262,205,65,651,98,76,24,243
CK-32,Little Zeballos River,43,1,50,43,17,106,727,631,262,1525,271,235,98,571
CK-32,Malksope,20,1,25,20,7,60,366,298,103,861,137,111,38,322
CK-32,Mckay,1,1,3,1,0,8,37,21,4,117,14,8,1,44
CK-32,Mooyah,8,1,11,8,2,28,154,113,30,412,57,42,11,153
CK-32,Ououkinsh,17,1,21,17,5,51,307,244,80,744,114,91,30,277
CK-32,Power,51,1,58,50,21,120,844,742,320,1725,315,276,120,646
CK-32,Sucwoa,25,1,31,25,9,71,448,372,137,1023,167,139,51,381
CK-32,Tlupana,20,1,24,20,7,58,358,290,100,844,133,108,37,316
CK-32,Tsowwin,26,1,31,26,9,72,459,382,141,1043,171,143,53,389
CK-31,Nitinat,357,1,364,348,221,562,5309,5149,3498,7717,1981,1918,1303,2891
CK-31,San Juan,330,1,337,322,202,526,4926,4763,3180,7265,1838,1774,1189,2718
CK-31,Nahmint,42,1,48,41,17,103,703,608,250,1483,262,226,94,555
CK-31,Sarita,84,1,92,83,39,177,1346,1223,596,2527,502,456,223,947
CK-31,Bedwell,99,1,107,98,48,202,1571,1443,732,2871,586,539,273,1072
CK-31,Megin,245,1,254,240,143,410,3703,3545,2225,5754,1382,1321,831,2151
CK-31,Moyeha,116,1,124,113,58,227,1813,1680,884,3223,676,627,329,1201
CK-31,Cypre,39,1,45,39,15,98,661,569,230,1408,246,212,86,528
CK-31,Tranquil,12,1,16,12,4,40,232,179,55,587,86,67,20,218
CK-31,Somass (stamp&sproat),1057,1,1057,1033,729,1465,15405,15202,11998,19393,5749,5671,4445,7296
CK-27,Puntledge Falls,560,1,565,548,371,821,8240,8073,5958,11123,3075,3009,2211,4175
CK-27,Englishman,299,1,306,292,180,485,4476,4313,2821,6728,1670,1606,1053,2514
CK-27,Big Qualicum,137,1,145,134,71,258,2124,1988,1087,3662,792,741,405,1368
CK-27,Little Qualicum,95,1,103,93,45,194,1501,1375,688,2763,560,513,257,1035
CK-24,Puntledge Summers,433,1,439,423,276,659,6406,6250,4402,8996,2390,2328,1640,3374
CK-25,Nanaimo Falls,545,1,550,533,360,801,8024,7860,5770,10883,2994,2928,2145,4084
CK-35,Klinaklini,1475,1,1475,1437,1012,2053,21485,21216,16737,27009,8019,7913,6200,10158
CK-17,Deadman,754,0,441,432,312,603,4772,4725,3747,5941,1861,1842,1455,2322
CK-17,Nicola,6225,0,1847,1812,1298,2529,20003,19805,15585,25122,7801,7730,6053,9824
CK-17,Spius,614,0,383,375,269,526,4151,4111,3225,5204,1619,1603,1252,2034
CK-17,Coldwater,255,0,212,207,143,300,2298,2267,1697,3005,896,885,658,1176
CK-17,Louis,438,0,306,298,212,424,3309,3274,2533,4204,1291,1277,981,1645
CK-17,Bonaparte,3002,0,1124,1103,805,1518,12168,12063,9732,14962,4746,4706,3771,5858
CK-16,Bessette,232,0,199,194,133,283,2156,2125,1579,2834,841,830,612,1110
CK-09,Portage,454,0,313,306,217,433,3389,3352,2598,4297,1322,1308,1007,1682
CK-11,Chilko,2103,0,882,866,634,1192,9552,9475,7661,11699,3726,3694,2973,4590
CK-11,Quesnel System (Cariboo),3998,0,1365,1342,972,1857,14788,14666,11750,18277,5768,5719,4558,7174
CK-11,"Nechako System (Stuart, Stellako)",15674,0,3474,3396,2338,4910,37637,37076,27541,49559,14678,14473,10717,19394
CK-11,Taseko,2219,0,915,898,657,1236,9907,9830,7947,12145,3864,3833,3080,4760
CK-11,Bridge,351,0,263,257,180,368,2849,2814,2148,3668,1111,1099,834,1431
CK-19,North Thompson and Tribs,5910,0,1782,1750,1255,2439,19306,19116,15079,24188,7529,7461,5854,9468
CK-12,Upper Fraser Spring Agg,33079,0,5803,5639,3704,8478,62897,61484,43375,86944,24528,23995,16814,33917
CK-07,Maria Slough,31,1,36,30,11,81,528,445,170,1171,197,166,64,438
CK-04,Birkenhead,462,0,317,310,220,438,3430,3393,2632,4345,1338,1323,1020,1701
CK-14,Eagle,594,0,375,367,263,515,4061,4022,3152,5096,1584,1569,1222,1993
CK-14,Salmon @ Salmon Arm,638,0,394,385,277,540,4263,4222,3317,5334,1663,1646,1288,2086
CK-14,Seymour - South Thompson,79,0,97,93,60,146,1049,1023,700,1478,409,400,271,578
CK-34,Homathko,286,1,294,279,171,468,4295,4131,2679,6508,1603,1539,1000,2428
CK-10,Endako,690,0,415,406,293,568,4493,4447,3510,5604,1752,1734,1364,2193
CK-10,Chilako,1908,0,826,811,593,1116,8944,8875,7166,10956,3488,3458,2784,4290
CK-10,Horsefly,487,0,328,320,228,453,3550,3513,2729,4489,1385,1370,1059,1757
CK-10,"Westroad, Baker, Naver, Narcosli, Cottonwood",8681,0,2318,2273,1604,3206,25108,24831,19189,32018,9792,9686,7446,12533
CK-10,Chilcotin (upper and lower),1993,0,851,835,611,1149,9212,9140,7381,11278,3593,3562,2866,4421
CK-10,Driftwood,708,0,422,413,298,578,4571,4525,3577,5696,1783,1765,1389,2230
CK-10,Nadina,919,0,504,493,358,685,5451,5397,4309,6749,2126,2106,1675,2642
CK-10,Upper Cariboo,554,0,358,350,250,492,3874,3834,2998,4871,1511,1496,1162,1909
CK-10,Taseko (Spring Timing) Agg,2218,0,915,898,657,1236,9907,9830,7947,12145,3864,3833,3080,4760
CK-08,Nahatlatch,246,0,208,202,139,294,2246,2215,1654,2943,876,865,641,1152
CK-05,Upper Pitt,287,0,230,224,156,323,2490,2461,1854,3237,971,960,719,1266
CK-01,Okanagan,611,1,615,597,408,885,8968,8792,6580,11955,3346,3279,2445,4492
CK-28,Ahnuhati,103,1,111,101,50,207,1628,1499,768,2955,607,559,286,1103
CK-28,Apple,104,1,112,102,51,209,1643,1513,776,2977,613,565,290,1110
CK-28,Sim,24,1,29,24,9,68,430,356,129,988,160,133,48,369
CK-28,Franklin,120,1,129,118,61,234,1883,1749,929,3327,702,652,346,1237
CK-28,Southgate,179,1,187,175,98,318,2735,2590,1508,4486,1020,966,563,1681
CK-28,Kakweiken,51,1,58,50,21,120,845,743,321,1727,315,277,120,647
CK-28,Wakeman,305,1,312,298,184,492,4563,4401,2889,6832,1702,1638,1079,2557
CK-28,Kingcome,282,1,290,275,168,462,4233,4072,2629,6428,1579,1517,981,2397
CK-28,Orford,38,1,44,37,15,95,641,550,222,1374,239,205,82,514
CK-28,Stafford,21,1,26,21,7,61,377,308,108,883,141,115,40,330
CK-28,Phillips,193,1,201,188,107,338,2940,2790,1657,4757,1097,1041,618,1785
CK-20,Brem,221,1,229,215,126,377,3344,3192,1955,5280,1248,1189,729,1981
CK-20,Indian,177,1,186,173,97,316,2716,2572,1494,4460,1013,959,558,1672
CK-20,Quatam,147,1,155,143,77,273,2268,2129,1183,3856,846,794,441,1443
CK-20,Seymour - Georgia Strait,55,1,62,54,24,128,911,805,355,1833,340,300,133,689
CK-20,Theodosia,55,1,62,54,23,126,901,796,349,1817,336,296,131,683
CK-20,Toba,450,1,456,440,289,679,6652,6495,4609,9281,2482,2418,1718,3488
CK-20,Squamish,832,1,833,813,571,1166,12151,11978,9286,15574,4534,4465,3448,5854
CK-21,Goldstream,42,1,48,41,17,103,706,612,252,1489,263,227,94,557
CK-06,Big Silver,421,0,297,290,206,413,3218,3183,2458,4099,1255,1242,952,1603
CK-18,North Thompson Agg,2086,0,877,861,630,1185,9501,9425,7618,11638,3706,3674,2956,4566
